Gene_name	ENSEMBL_ID	Description	Class
A1CF	ENSG00000148584	APOBEC1 complementation factor 	RNAenzyme
AARS	ENSG00000090861	alanyl-tRNA synthetase 	RNAenzyme
ADARB1	ENSG00000197381	adenosine deaminase, RNA specific B1 	RNAenzyme
ADAR	ENSG00000160710	adenosine deaminase, RNA specific 	RNAenzyme
ADAT2	ENSG00000189007	adenosine deaminase, tRNA specific 2 	RNAenzyme
AHCY	ENSG00000101444	adenosylhomocysteinase 	SET_SAM
AHCYL1	ENSG00000168710	adenosylhomocysteinase like 1 	SET_SAM
AHCYL2	ENSG00000158467	adenosylhomocysteinase like 2 	SET_SAM
ALG9	ENSG00000086848	ALG9, alpha-1,2-mannosyltransferase 	SET_SAM
ALKBH5	ENSG00000091542	alkB homolog 5, RNA demethylase 	RNAenzyme
ALKBH8	ENSG00000137760	alkB homolog 8, tRNA methyltransferase 	SET_SAM
AMD1	ENSG00000123505	adenosylmethionine decarboxylase 1 	SET_SAM
AMT	ENSG00000145020	aminomethyltransferase 	SET_SAM
APOBEC1	ENSG00000111701	apolipoprotein B mRNA editing enzyme catalytic subunit 1 	RNAenzyme
APOBEC2	ENSG00000124701	apolipoprotein B mRNA editing enzyme catalytic subunit 2 	RNAenzyme
AQR	ENSG00000021776	aquarius intron-binding spliceosomal factor 	HY44
AS3MT	ENSG00000214435	arsenite methyltransferase 	SET_SAM
ASMT	ENSG00000196433	acetylserotonin O-methyltransferase 	SET_SAM
BCDIN3D	ENSG00000186666	BCDIN3 domain containing RNA methyltransferase 	SET_SAM
BHMT	ENSG00000145692	betaine--homocysteine S-methyltransferase 	SET_SAM
BMS1	ENSG00000165733	BMS1, ribosome biogenesis factor 	HY44
CARM1	ENSG00000142453	coactivator associated arginine methyltransferase 1 	SET_SAM
CDK5RAP1	ENSG00000101391	CDK5 regulatory subunit associated protein 1 	RNAenzyme
CDKAL1	ENSG00000145996	CDK5 regulatory subunit associated protein 1 like 1 	RNAenzyme
CIAPIN1	ENSG00000005194	cytokine induced apoptosis inhibitor 1 	SET_SAM
CMSS1	ENSG00000184220	cms1 ribosomal small subunit homolog (yeast) 	HY34
CMTR1	ENSG00000137200	cap methyltransferase 1 	SET_SAM
CMTR2	ENSG00000180917	cap methyltransferase 2 	SET_SAM
COMTD1	ENSG00000165644	catechol-O-methyltransferase domain containing 1 	SET_SAM
COMT	ENSG00000093010	catechol-O-methyltransferase 	SET_SAM
COQ3	ENSG00000132423	coenzyme Q3, methyltransferase 	SET_SAM
COQ5	ENSG00000110871	coenzyme Q5, methyltransferase 	SET_SAM
CTU1	ENSG00000142544	cytosolic thiouridylase subunit 1 	RNAenzyme
